Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
91000,175836,212364,16375,37684,36360,15330,12439,209280700,60658,52572,6223,181135742,87650,181507811,21333,181697590,27857,181889978,5504,189100705,40464310
91250,164808,166017,16465,37625,35235,15385,14304,207420979,90424,53690,6296,177898504,60239,184870030,21817,173711132,26758,194163795,5490,186537187,41984597
91500,159980,164748,16359,41318,34310,13564,16512,209025768,69506,52416,6196,189626902,91486,207760819,24232,173193970,28567,188720542,5582,193151067,42046079
91750,154326,163823,16310,32409,32742,13868,14467,205809825,72417,54397,6225,179619883,73258,189127713,22564,181339495,29401,178602278,5508,200050170,40038973
92000,157219,162656,17823,31230,34838,14684,14359,223263809,75843,54214,6176,193483679,57395,182594831,21244,172081804,28678,176944383,5622,194580831,41307707
92250,155162,168925,17361,32289,34692,12007,15444,221315810,79383,54958,6188,188218952,65968,192477674,23157,183931732,28012,183675413,5551,189720515,43375160
92500,171003,168554,16807,32294,35466,13773,15988,217694524,73785,54886,6196,183929353,138146,194839158,23474,173953000,29477,181984255,5414,191358691,41299357
92750,161173,174277,17089,32547,33977,14551,15787,213692559,72387,67485,6201,192658114,80990,187861973,23617,188994404,28449,179215613,5537,185379129,45592315
93000,148612,169300,16540,36886,34273,13007,15207,223243669,68607,55356,6157,189309261,131173,185031372,21824,174775154,27621,186818940,5250,205485697,46261662
93250,152546,161519,17050,29579,36214,15718,14763,220893035,71424,57331,6168,181637003,139475,189484195,22005,181789137,27738,187010983,5426,201121285,42500064
93500,156164,167904,16823,31011,35395,14459,15283,220127157,72183,52278,6226,189458533,72035,194770025,23114,179406544,27829,196647162,5982,197560093,44233455
93750,146580,178929,16549,30763,36173,15877,14915,222015547,74528,54178,6191,195030485,57457,188540403,20641,190938870,28626,197807287,5663,180506086,42712410
94000,162257,169189,27479,32087,40031,14477,16391,232656562,78778,58331,6176,189582579,66892,195612547,22212,183254970,29591,194053573,5393,205928846,43749658
94250,154210,166284,16963,36776,36310,14736,13924,228826261,73909,53507,6176,191745768,54770,189129250,23573,192530158,27424,204694100,5491,181585051,44128531
94500,152132,180364,16481,32396,35912,15841,14118,230570865,76056,57334,6279,187855813,110330,204078877,25192,188340211,28877,194346051,5637,188857137,46775636
94750,155122,172615,16301,31164,42944,13778,14703,227015969,100220,66111,6132,199835263,74812,192391662,23145,182943311,27956,212377176,5555,193778632,47524871
95000,148175,225045,16686,31490,38532,14603,14583,219748816,81455,52570,6187,193274152,57292,190087024,23948,192506561,26182,214273284,5501,192147651,45224192
95250,152237,145201,17237,30158,39696,14435,14258,231955147,86154,55752,6175,191925947,106038,193498255,23526,189718298,26556,197319847,5778,195170800,42955303
95500,165629,150671,16531,31564,39979,14945,16036,240234573,87370,55502,6196,210435651,58787,194546928,23381,191605232,28959,192336626,5567,182768769,45903596
95750,153092,317088,16465,36584,37668,14840,16645,228017099,78232,55956,6241,196013088,55795,200707268,24437,188669257,27457,204404238,5840,188895136,41956739
96000,153035,137584,16689,31419,41213,16406,16255,229603700,109532,57766,6208,188008820,53210,192371140,26213,185689764,27750,201144111,5514,191286750,47255420
96250,148899,139904,16351,31646,43844,13040,14664,227258141,84717,56845,6166,200264690,54672,190773072,24241,198944343,28579,205129003,5620,183224841,43252612
96500,150088,140339,16373,29484,40628,14339,14834,238393259,78716,71096,6187,198852211,53774,200807302,25345,195122740,27512,199012246,5393,187901990,44008789
96750,150918,142007,16774,31913,43398,15037,13738,236955781,85898,59168,6167,207335816,50003,190642375,25649,183605319,27779,200788297,5538,191337907,42273935
97000,195681,140933,16370,35911,37111,15800,13422,231776727,81974,58010,6183,192531851,52420,205816363,28614,188013319,25434,199237243,5515,198926774,44648632
97250,187967,144049,23234,31531,41502,16477,16084,248892412,81767,56976,6189,203781158,50903,194272511,25015,197269203,27064,192182670,5622,203483856,47585035
97500,160991,144614,16676,29479,39803,15380,15606,238282032,82675,55991,6180,205197445,48399,211884289,25063,194208692,26815,199528243,5488,192619668,43305784
97750,157910,141606,16581,30756,40612,14917,14710,245457635,81869,60353,6166,199078287,51787,201787175,25607,207862200,26383,195649808,5475,207704504,45428939
98000,158174,150553,16662,30540,40143,16939,15596,243696498,76647,57120,6177,207333953,49285,200412253,26597,191989578,27293,207766624,5368,220414383,47707173
98250,169943,149819,17229,29750,76962,15014,15326,255056190,80898,76653,6185,205871944,51240,210872411,27265,203233749,26834,205101555,5348,202950450,43649991
98500,160923,161816,16821,38383,49216,14570,15311,251405611,82683,60118,6171,200580469,49144,220029354,26406,195962428,27106,199955672,5494,205929229,43661167
98750,157073,154742,16440,30169,48324,13815,14347,254290830,78671,60360,6193,197863449,47029,204910739,23696,189367538,25616,204618440,5479,194307269,44382640
99000,163625,164961,16343,30903,45943,14561,14886,241656644,79955,60397,6204,213163636,45469,205315731,25923,204579240,25928,199108852,5639,196108933,44877982
99250,156284,195492,16614,30512,46357,15016,15535,242566625,79822,60501,6208,211264734,50572,206291569,23943,199198870,327494,208685574,5384,192826231,48211321
99500,156889,152041,16716,28903,48690,15229,14355,247255587,88722,62384,6164,196590233,55086,209991902,27891,206022303,31561,199290410,5508,195049483,48253175
99750,172653,333390,16960,37636,108539,16893,13814,258672977,78661,57763,6137,212300241,52911,256329778,27329,206049732,28203,203822776,5385,193589141,45707262
100000,156323,162105,16966,30531,48056,15693,14402,242630171,87822,60907,6187,206049178,45552,203807521,24465,204196566,29005,217088819,5211,206183983,43709154
100250,161800,191119,16430,30713,50163,14008,14070,246428125,82426,61001,6190,215252648,47089,212183136,25882,212119199,27542,226246642,5345,204028795,46943337
100500,184050,145464,16591,28311,60723,14458,14942,261665689,109533,59545,6191,206359457,45794,209647536,25891,202085889,28051,219998572,5327,208358242,46679509
100750,158527,147798,16661,30408,47939,15872,14738,256400552,83884,68098,6171,210326062,46044,205223155,27674,207824407,27771,201159895,5328,217770125,46765321
101000,180256,150771,16490,31004,49516,16394,14619,256979567,82687,66645,6177,205997990,47780,213712489,25635,204496462,29352,207334380,6332,210612966,47462013
101250,165003,150638,17452,38582,43884,16651,15080,253913500,83862,65304,6156,220922121,44307,213447202,25658,216343047,28380,218586919,5654,206080658,45139080
101500,153904,168615,16638,34989,47968,15746,13756,254613907,82588,63259,6207,214904093,46742,213026938,24243,223961051,28434,221399838,5573,210484505,50902486
101750,154352,192512,17412,30291,60673,16944,14748,268946064,80516,75261,6183,213888194,48890,218475701,23892,210727285,27418,208013197,5550,228463585,45086942
102000,169981,140309,16459,46357,39993,16486,13944,252712617,82102,60920,6308,206992385,67279,213705372,24487,216819951,28468,205570962,5575,209598291,47897304
102250,161572,135658,16790,30670,40621,17017,14632,252953457,84868,63293,6153,221218760,47752,223133212,24727,217982250,26795,225179885,5674,216154941,50002678
102500,151046,149820,17442,35924,42285,14943,14875,263754485,80063,64766,6195,215847760,43061,218973167,26535,224404251,27251,212967303,5580,215373843,49834208
102750,155340,162470,16470,31297,38295,17983,13669,266856810,82699,64303,6202,214507598,43006,214596993,28120,228708960,26020,204711488,5525,232853420,51559862
103000,150249,321416,17285,28440,47303,16345,15996,262394432,78877,64779,6183,216271381,42790,224962659,29946,233230434,26940,207087830,5292,222439730,47850122
103250,153039,142727,16770,31025,36455,15207,14700,270117976,84567,65706,6220,212956113,38767,214904270,34342,219615025,25552,212204127,5436,222151385,48211427
103500,175803,147202,16811,29556,40322,13179,14838,277363412,86875,68473,6231,207822167,36162,219626261,38908,222439700,26004,212074327,5669,215456769,52644991
103750,155797,143382,17178,29547,38936,11584,14298,258105125,81029,70450,6177,219958916,46774,223560912,35767,237628437,26188,215299703,5424,222873547,51156007
104000,158311,153054,16843,37344,40634,10470,13031,264098862,85247,77774,6171,209419601,37146,232095060,29651,224488327,25569,215701716,5409,225237650,51796709
104250,156035,210894,30181,28638,45045,11275,13151,270425687,78625,87683,6256,213100587,34629,222782877,34993,217473319,26035,209234121,5360,242720992,49979643
104500,71134,96869,7914,13253,18776,5579,8382,135387472,36613,39630,2885,98964924,16334,112889349,11731,108955592,11870,101154689,3305,110680112,24501340

